id,trait,question,route_used,source_count,gene_score,citation_score,level_score,mechanism_score_manual,auto_total,full_total,teacher_score_adjusted,teacher_notes,error
F001,firmness,哪个基因被认为是苹果果肉硬度保持的关键调控因子，其功能机制是什么？,hybrid,6,0,2,1,,3,5,,,
F002,firmness,MdNAC18基因启动子区域的InDel变体如何影响苹果果肉硬度和成熟时间？,hybrid,6,4,2,1,,7,9,,,
F003,firmness,MdPG（多聚半乳糖醛酸酶）在苹果果实软化中的作用是什么？哪些基因调控其表达？,hybrid,6,1,2,1,,4,6,,,
F004,firmness,在Honeycrisp苹果品种中，哪些基因与其极佳的脆度和硬度性状关联最强？,hybrid,6,0,2,1,,3,5,,,
F005,firmness,乙烯信号通路中的MdACS1和MdACO1基因如何影响苹果果实硬度和采后软化？,hybrid,6,4,2,1,,7,9,,,
C001,color,苹果红色果皮着色的主要调控基因是什么？其调控网络如何工作？,hybrid,6,2,2,1,,5,7,,,
C002,color,MdHY5和MdCOP1如何通过光信号途径调控苹果花青素积累和果皮着色？,hybrid,6,4,2,1,,7,9,,,
C003,color,为什么富士苹果在高温环境下着色差？涉及哪些基因和机制？,hybrid,6,3,2,1,,6,8,,,
C004,color,MdMYB10启动子中的R6重复序列对苹果花青素积累有何影响？,hybrid,6,4,2,1,,7,9,,,
C005,color,参与苹果花青素生物合成途径的主要结构基因（酶基因）有哪些，各自催化哪一步反应？,hybrid,6,2,2,1,,5,7,,,
A001,acidity,Ma1基因位点对苹果果实酸度有何影响？Ma和ma等位基因的区别是什么？,hybrid,6,4,2,1,,7,9,,,
A002,acidity,MdALMT9（Ma1）蛋白的功能和亚细胞定位是什么？它如何驱动苹果酸在液泡中积累？,hybrid,6,4,2,1,,7,9,,,
A003,acidity,苹果果实苹果酸的生物合成途径涉及哪些关键酶？,hybrid,6,3,2,1,,6,8,,,
A004,acidity,MdMYB73（MdPH1）转录因子如何调控苹果果实的酸度？,hybrid,6,3,2,1,,6,8,,,
A005,acidity,苹果成熟过程中苹果酸含量下降的分子机制是什么？,hybrid,6,2,2,1,,5,7,,,
H001,harvest,苹果成熟期（采收期）的主要遗传决定因素是什么？GWAS研究发现了哪些关键位点？,hybrid,6,4,2,1,,7,9,,,
H002,harvest,乙烯在苹果采收期调控中的核心作用是什么？相关基因有哪些？,hybrid,6,3,2,1,,6,8,,,
S001,sugar,苹果果实中蔗糖积累的主要相关基因有哪些？转运和代谢机制是什么？,hybrid,5,4,2,1,,7,9,,,
G001,general,苹果育种中GWAS（全基因组关联分析）研究的主要优势是什么？与QTL作图相比有何不同？,hybrid,6,4,2,1,,7,9,,,
G002,general,苹果基因组中哪个染色体区域含有最多的果实品质性状QTL？,hybrid,6,1,2,1,,4,6,,,
